Distance(m),V(x)(mV)
-1.500000000000000000e+02,-3.036634646185415676e+00
-1.489966555183946468e+02,-3.042977319051966223e+00
-1.479933110367892937e+02,-3.049339992666102006e+00
-1.469899665551839405e+02,-3.055722202901968387e+00
-1.459866220735785873e+02,-3.062123454992217386e+00
-1.449832775919732342e+02,-3.068543221995421622e+00
-1.439799331103678810e+02,-3.074980943184813853e+00
-1.429765886287625563e+02,-3.081436022353993387e+00
-1.419732441471572031e+02,-3.087907826034999914e+00
-1.409698996655518499e+02,-3.094395681623864913e+00
-1.399665551839464968e+02,-3.100898875408450106e+00
-1.389632107023411436e+02,-3.107416650493084909e+00
-1.379598662207357904e+02,-3.113948204614162663e+00
-1.369565217391304373e+02,-3.120492687840501045e+00
-1.359531772575250841e+02,-3.127049200151899022e+00
-1.349498327759197309e+02,-3.133616788888907045e+00
-1.339464882943143778e+02,-3.140194446066391976e+00
-1.329431438127090246e+02,-3.146781105543018153e+00
-1.319397993311036714e+02,-3.153375640038283301e+00
-1.309364548494983183e+02,-3.159976857988186616e+00
-1.299331103678929651e+02,-3.166583500230076620e+00
-1.289297658862876119e+02,-3.173194236506614363e+00
-1.279264214046822730e+02,-3.179807661778123684e+00
-1.269230769230769198e+02,-3.186422292331945183e+00
-1.259197324414715808e+02,-3.193036561676640517e+00
-1.249163879598662277e+02,-3.199648816208138680e+00
-1.239130434782608745e+02,-3.206257310634050839e+00
-1.229096989966555213e+02,-3.212860203141475690e+00
-1.219063545150501682e+02,-3.219455550292690926e+00
-1.209030100334448150e+02,-3.226041301632039726e+00
-1.198996655518394618e+02,-3.232615293986262905e+00
-1.188963210702341087e+02,-3.239175245439311013e+00
-1.178929765886287555e+02,-3.245718748961420985e+00
-1.168896321070234023e+02,-3.252243265670875516e+00
-1.158862876254180634e+02,-3.258746117705402234e+00
-1.148829431438127102e+02,-3.265224480678621255e+00
-1.138795986622073571e+02,-3.271675375695250132e+00
-1.128762541806020039e+02,-3.278095660897007768e+00
-1.118729096989966649e+02,-3.284482022509202626e+00
-1.108695652173913118e+02,-3.290830965355943327e+00
-1.098662207357859586e+02,-3.297138802809674640e+00
-1.088628762541806054e+02,-3.303401646138367287e+00
-1.078595317725752523e+02,-3.309615393211125411e+00
-1.068561872909698991e+02,-3.315775716520219518e+00
-1.058528428093645459e+02,-3.321878050474633692e+00
-1.048494983277591928e+02,-3.327917577916998049e+00
